ticker,url
BBH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BBH&type=stock&to=1735221600&countBack=1
BBM,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BBM&type=stock&to=1735221600&countBack=1
BBS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BBS&type=stock&to=1735221600&countBack=1
BBT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BBT&type=stock&to=1735221600&countBack=1
BCA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCA&type=stock&to=1735221600&countBack=1
BCB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCB&type=stock&to=1735221600&countBack=1
BCC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCC&type=stock&to=1735221600&countBack=1
BCE,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCE&type=stock&to=1735221600&countBack=1
BCF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCF&type=stock&to=1735221600&countBack=1
BCG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCG&type=stock&to=1735221600&countBack=1
BCM,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCM&type=stock&to=1735221600&countBack=1
BCO,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCO&type=stock&to=1735221600&countBack=1
BCP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCP&type=stock&to=1735221600&countBack=1
BCV,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BCV&type=stock&to=1735221600&countBack=1
BDB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BDB&type=stock&to=1735221600&countBack=1
BDG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BDG&type=stock&to=1735221600&countBack=1
BDT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BDT&type=stock&to=1735221600&countBack=1
BDW,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BDW&type=stock&to=1735221600&countBack=1
BED,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BED&type=stock&to=1735221600&countBack=1
BEL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BEL&type=stock&to=1735221600&countBack=1
BFC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BFC&type=stock&to=1735221600&countBack=1
BGW,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BGW&type=stock&to=1735221600&countBack=1
BHA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHA&type=stock&to=1735221600&countBack=1
BHC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHC&type=stock&to=1735221600&countBack=1
BHG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHG&type=stock&to=1735221600&countBack=1
BHI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHI&type=stock&to=1735221600&countBack=1
BHK,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHK&type=stock&to=1735221600&countBack=1
BHN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHN&type=stock&to=1735221600&countBack=1
BHP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BHP&type=stock&to=1735221600&countBack=1
BIC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BIC&type=stock&to=1735221600&countBack=1
BID,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BID&type=stock&to=1735221600&countBack=1
BIG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BIG&type=stock&to=1735221600&countBack=1
BII,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BII&type=stock&to=1735221600&countBack=1
BIO,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BIO&type=stock&to=1735221600&countBack=1
BKC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BKC&type=stock&to=1735221600&countBack=1
BKG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BKG&type=stock&to=1735221600&countBack=1
BKH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BKH&type=stock&to=1735221600&countBack=1
BLF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BLF&type=stock&to=1735221600&countBack=1
BLI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BLI&type=stock&to=1735221600&countBack=1
BLN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BLN&type=stock&to=1735221600&countBack=1
BLT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BLT&type=stock&to=1735221600&countBack=1
BLW,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BLW&type=stock&to=1735221600&countBack=1
BMC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMC&type=stock&to=1735221600&countBack=1
BMD,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMD&type=stock&to=1735221600&countBack=1
BMF,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMF&type=stock&to=1735221600&countBack=1
BMG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMG&type=stock&to=1735221600&countBack=1
BMI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMI&type=stock&to=1735221600&countBack=1
BMJ,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMJ&type=stock&to=1735221600&countBack=1
BMN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMN&type=stock&to=1735221600&countBack=1
BMP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMP&type=stock&to=1735221600&countBack=1
BMS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMS&type=stock&to=1735221600&countBack=1
BMV,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BMV&type=stock&to=1735221600&countBack=1
BNA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BNA&type=stock&to=1735221600&countBack=1
BNW,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BNW&type=stock&to=1735221600&countBack=1
BOT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BOT&type=stock&to=1735221600&countBack=1
BPC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BPC&type=stock&to=1735221600&countBack=1
BQB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BQB&type=stock&to=1735221600&countBack=1
BRC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BRC&type=stock&to=1735221600&countBack=1
BRR,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BRR&type=stock&to=1735221600&countBack=1
BRS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BRS&type=stock&to=1735221600&countBack=1
BSA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSA&type=stock&to=1735221600&countBack=1
BSC,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSC&type=stock&to=1735221600&countBack=1
BSD,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSD&type=stock&to=1735221600&countBack=1
BSG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSG&type=stock&to=1735221600&countBack=1
BSH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSH&type=stock&to=1735221600&countBack=1
BSI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSI&type=stock&to=1735221600&countBack=1
BSL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSL&type=stock&to=1735221600&countBack=1
BSP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSP&type=stock&to=1735221600&countBack=1
BSQ,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSQ&type=stock&to=1735221600&countBack=1
BSR,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BSR&type=stock&to=1735221600&countBack=1
BST,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BST&type=stock&to=1735221600&countBack=1
BT1,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BT1&type=stock&to=1735221600&countBack=1
BT6,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BT6&type=stock&to=1735221600&countBack=1
BTB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTB&type=stock&to=1735221600&countBack=1
BTD,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTD&type=stock&to=1735221600&countBack=1
BTG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTG&type=stock&to=1735221600&countBack=1
BTH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTH&type=stock&to=1735221600&countBack=1
BTN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTN&type=stock&to=1735221600&countBack=1
BTP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTP&type=stock&to=1735221600&countBack=1
BTS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTS&type=stock&to=1735221600&countBack=1
BTT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTT&type=stock&to=1735221600&countBack=1
BTU,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTU&type=stock&to=1735221600&countBack=1
BTV,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTV&type=stock&to=1735221600&countBack=1
BTW,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BTW&type=stock&to=1735221600&countBack=1
BVB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVB&type=stock&to=1735221600&countBack=1
BVG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVG&type=stock&to=1735221600&countBack=1
BVH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVH&type=stock&to=1735221600&countBack=1
BVL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVL&type=stock&to=1735221600&countBack=1
BVN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVN&type=stock&to=1735221600&countBack=1
BVS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BVS&type=stock&to=1735221600&countBack=1
BWA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BWA&type=stock&to=1735221600&countBack=1
BWE,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BWE&type=stock&to=1735221600&countBack=1
BWS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BWS&type=stock&to=1735221600&countBack=1
BXH,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=BXH&type=stock&to=1735221600&countBack=1
C12,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C12&type=stock&to=1735221600&countBack=1
C21,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C21&type=stock&to=1735221600&countBack=1
C22,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C22&type=stock&to=1735221600&countBack=1
C32,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C32&type=stock&to=1735221600&countBack=1
C47,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C47&type=stock&to=1735221600&countBack=1
C4G,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C4G&type=stock&to=1735221600&countBack=1
C69,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C69&type=stock&to=1735221600&countBack=1
C92,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=C92&type=stock&to=1735221600&countBack=1
CAB,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAB&type=stock&to=1735221600&countBack=1
CAD,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAD&type=stock&to=1735221600&countBack=1
CAG,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAG&type=stock&to=1735221600&countBack=1
CAN,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAN&type=stock&to=1735221600&countBack=1
CAP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAP&type=stock&to=1735221600&countBack=1
CAR,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAR&type=stock&to=1735221600&countBack=1
CAT,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAT&type=stock&to=1735221600&countBack=1
CAV,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CAV&type=stock&to=1735221600&countBack=1
CBI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CBI&type=stock&to=1735221600&countBack=1
CBS,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CBS&type=stock&to=1735221600&countBack=1
CC1,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CC1&type=stock&to=1735221600&countBack=1
CC4,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CC4&type=stock&to=1735221600&countBack=1
CCA,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCA&type=stock&to=1735221600&countBack=1
CCI,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCI&type=stock&to=1735221600&countBack=1
CCL,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCL&type=stock&to=1735221600&countBack=1
CCM,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCM&type=stock&to=1735221600&countBack=1
CCP,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCP&type=stock&to=1735221600&countBack=1
CCR,https://apipubaws.tcbs.com.vn/stock-insight/v2/stock/bars-long-term?resolution=D&ticker=CCR&type=stock&to=1735221600&countBack=1
